                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1679,                 1.3209,                 1.2638,                0.63212,                0.42595,                0.45232,                0.28488,                 1.3819,                 1.3875,                 1.4815,              0.0072775,              0.0072775,              0.0072775
                     35,                 1.1222,                 1.2832,                 1.2342,                0.61242,                0.45955,                0.48616,                0.30827,                 1.3962,                 1.3945,                 1.5292,               0.007195,               0.007195,               0.007195
                     36,                 1.1464,                 1.2979,                 1.2437,                0.52238,                0.46813,                0.44582,                0.26556,                 1.3717,                  1.454,                 1.4837,              0.0071125,              0.0071125,              0.0071125
                     37,                 1.0969,                 1.2811,                 1.2299,                0.53418,                 0.4634,                0.47667,                0.29398,                 1.3865,                 1.4271,                 1.4881,                0.00703,                0.00703,                0.00703
                     38,                 1.1092,                 1.2492,                 1.2304,                0.60957,                0.39957,                0.46491,                0.26105,                 1.3926,                 1.5149,                  1.501,              0.0069475,              0.0069475,              0.0069475
                     39,                 1.0957,                 1.2898,                 1.2324,                0.59365,                0.45838,                0.51268,                0.34387,                 1.3458,                 1.3681,                 1.4744,               0.006865,               0.006865,               0.006865
                     40,                 1.1121,                 1.2562,                 1.2246,                0.68489,                 0.4292,                0.50645,                0.32623,                 1.3363,                 1.3851,                 1.4884,              0.0067825,              0.0067825,              0.0067825
                     41,                 1.1025,                 1.2344,                 1.2346,                0.72764,                0.40545,                0.48183,                0.29298,                 1.3677,                   1.38,                 1.5107,                 0.0067,                 0.0067,                 0.0067
                     42,                 1.0974,                 1.2153,                 1.2125,                0.71477,                0.42281,                 0.4963,                 0.3153,                 1.3448,                 1.3585,                 1.4559,              0.0066175,              0.0066175,              0.0066175
                     43,                  1.092,                 1.2381,                 1.2322,                0.66969,                0.45609,                0.48238,                0.29211,                 1.3704,                 1.4308,                 1.4708,               0.006535,               0.006535,               0.006535
                     44,                   1.07,                 1.1828,                  1.221,                0.63531,                0.48843,                0.50437,                0.30638,                 1.3757,                 1.3656,                 1.4699,              0.0064525,              0.0064525,              0.0064525
                     45,                 1.0657,                 1.1546,                 1.1897,                0.58173,                0.46635,                0.47473,                0.30559,                 1.3798,                 1.3838,                 1.4929,                0.00637,                0.00637,                0.00637
                     46,                 1.0622,                  1.164,                 1.1957,                0.65131,                0.42121,                0.47583,                0.31331,                 1.3708,                  1.385,                 1.4739,              0.0062875,              0.0062875,              0.0062875
                     47,                 1.0531,                 1.1584,                 1.1963,                0.61899,                0.46429,                0.49137,                0.29857,                 1.3645,                 1.3972,                 1.4798,               0.006205,               0.006205,               0.006205
                     48,                 1.0435,                 1.1382,                 1.1986,                0.71748,                0.46068,                0.48821,                0.31564,                 1.3513,                 1.3213,                 1.4631,              0.0061225,              0.0061225,              0.0061225
                     49,                 1.0206,                 1.1148,                 1.1829,                0.72986,                0.41901,                0.48033,                0.30565,                 1.3562,                 1.2884,                  1.476,                0.00604,                0.00604,                0.00604
                     50,                 1.0147,                 1.0922,                 1.1828,                0.62764,                0.46828,                0.49327,                0.32689,                 1.3699,                 1.2458,                 1.4968,              0.0059575,              0.0059575,              0.0059575
                     51,                 1.0275,                 1.1152,                 1.1778,                 0.6372,                0.43345,                0.48505,                 0.3316,                 1.3737,                 1.4242,                 1.5077,               0.005875,               0.005875,               0.005875
                     52,                 1.0345,                 1.0934,                 1.1673,                 0.7095,                0.43538,                0.51303,                0.34564,                 1.3158,                 1.2894,                   1.47,              0.0057925,              0.0057925,              0.0057925
                     53,                 1.0171,                 1.0876,                 1.1624,                0.57667,                0.44844,                0.48522,                0.32226,                 1.3155,                 1.3126,                 1.4477,                0.00571,                0.00571,                0.00571
                     54,                 1.0273,                  1.095,                 1.1766,                0.65207,                0.45598,                 0.5055,                0.32557,                 1.3469,                  1.346,                 1.4727,              0.0056275,              0.0056275,              0.0056275
                     55,                 1.0337,                 1.0676,                 1.1634,                0.65016,                0.47083,                0.49556,                0.30453,                 1.3471,                 1.3544,                 1.4902,               0.005545,               0.005545,               0.005545
                     56,                 1.0112,                 1.0401,                 1.1702,                0.67834,                0.46132,                 0.5053,                0.33213,                 1.3887,                 1.3646,                  1.506,              0.0054625,              0.0054625,              0.0054625
                     57,                0.97827,                 1.0297,                 1.1496,                0.65287,                0.44775,                0.50616,                0.32798,                 1.3627,                  1.329,                 1.4889,                0.00538,                0.00538,                0.00538
                     58,                 1.0041,                 1.0437,                 1.1581,                0.53189,                0.49857,                0.50414,                0.33042,                 1.3455,                 1.2567,                 1.4972,              0.0052975,              0.0052975,              0.0052975
                     59,                 1.0062,                 1.0419,                 1.1683,                0.68322,                0.45512,                0.51548,                0.34432,                 1.3171,                 1.2491,                 1.4588,               0.005215,               0.005215,               0.005215
                     60,                0.98176,                 1.0167,                   1.16,                 0.6478,                0.46419,                0.50283,                0.32833,                  1.336,                 1.3146,                 1.4714,              0.0051325,              0.0051325,              0.0051325
                     61,                0.97667,                 1.0105,                 1.1538,                0.68234,                0.42059,                0.49302,                0.33027,                 1.3197,                 1.3026,                  1.447,                0.00505,                0.00505,                0.00505
                     62,                0.98808,                0.98342,                 1.1371,                0.76308,                0.40936,                0.48981,                0.32855,                 1.3295,                 1.2809,                 1.4693,              0.0049675,              0.0049675,              0.0049675
                     63,                0.97383,                0.98796,                 1.1332,                0.56821,                0.50316,                0.51834,                0.34948,                 1.3308,                 1.3231,                 1.4589,               0.004885,               0.004885,               0.004885
                     64,                0.96919,                0.97004,                 1.1339,                0.73264,                0.47831,                0.52456,                0.34958,                 1.3382,                 1.2794,                 1.4709,              0.0048025,              0.0048025,              0.0048025
                     65,                 0.9615,                0.98535,                 1.1311,                0.65182,                0.45973,                0.50235,                0.33296,                  1.343,                 1.2726,                 1.4731,                0.00472,                0.00472,                0.00472
                     66,                0.95056,                0.94718,                 1.1094,                0.74474,                0.45643,                 0.5384,                0.35336,                 1.3126,                 1.2425,                 1.4537,              0.0046375,              0.0046375,              0.0046375
                     67,                0.95958,                0.95606,                 1.1253,                0.67771,                0.47889,                0.51678,                0.33067,                  1.341,                 1.2754,                 1.4804,               0.004555,               0.004555,               0.004555
                     68,                0.94815,                0.93883,                 1.1178,                0.75445,                0.48284,                0.52828,                 0.3531,                 1.3069,                 1.2499,                 1.4446,              0.0044725,              0.0044725,              0.0044725
                     69,                0.95815,                0.94022,                 1.1053,                0.72811,                0.45588,                0.51227,                0.32933,                 1.3241,                 1.2709,                 1.4527,                0.00439,                0.00439,                0.00439
                     70,                0.91999,                 0.9036,                  1.106,                0.72943,                0.46127,                0.50761,                0.34534,                 1.3258,                   1.27,                 1.4649,              0.0043075,              0.0043075,              0.0043075
